order_id,courier_name,customer_name,customer_city,payment_method,item_value,system_status,customer_report,gps_distance_meters,delivery_date
ORD-89239,Aurora Iswahyudi,"Hani Pertiwi, S.IP",Bukittinggi,COD,84163,Delivered,Received,21,2026-07-12
ORD-67469,dr. Lamar Thamrin,Darmanto Laksita,Bandar Lampung,COD,1305228,Delivered,Received,49,2026-07-17
ORD-78333,Candra Hutagalung,Hj. Tiara Suwarno,Kota Administrasi Jakarta Barat,COD,1085122,Delivered,Received,21,2026-07-27
ORD-88029,"Lintang Sitorus, S.Pt",Mustika Pangestu,Blitar,COD,353193,Delivered,Received,26,2026-07-16
ORD-97984,"Makara Iswahyudi, S.Psi",drg. Jagapati Yuniar,Ternate,COD,1429080,Delivered,Received,11,2026-07-03
ORD-65861,Ella Nasyidah,Uli Wahyudin,Bandar Lampung,COD,1060776,Delivered,Received,18,2026-07-11
ORD-32921,Siska Maheswara,Dartono Hasanah,Sawahlunto,COD,855939,Delivered,Received,39,2026-06-30
ORD-34600,Niyaga Hidayanto,Wardaya Mayasari,Ternate,COD,738444,Delivered,Received,40,2026-07-04
ORD-62559,Almira Mardhiyah,Wirda Maulana,Metro,COD,1469211,Delivered,Received,32,2026-07-27
ORD-60780,Lantar Astuti,Ratih Zulkarnain,Padang Sidempuan,COD,1002181,Delivered,Received,31,2026-07-11
ORD-96777,"T. Cakrawangsa Ardianto, S.IP","Zalindra Fujiati, M.Farm",Bekasi,COD,1146306,Delivered,Received,16,2026-07-19
ORD-32007,drg. Raisa Hakim,Radit Purwanti,Kediri,COD,924952,Delivered,Received,34,2026-07-08
ORD-67866,"KH. Ganda Pudjiastuti, S.Pd",drg. Usyi Damanik,Kota Administrasi Jakarta Timur,COD,481817,Failed,Rejected/Unreachable,48,2026-07-05
ORD-24585,Hasim Prasetya,Praba Najmudin,Pariaman,COD,684934,Delivered,Received,40,2026-07-13
ORD-88069,Lidya Firgantoro,Rahmi Mulyani,Padangpanjang,COD,756192,Delivered,Received,43,2026-06-29
ORD-11677,Bakiman Hassanah,Catur Sihombing,Solok,COD,943867,Delivered,Received,12,2026-07-22
ORD-82221,Padma Mardhiyah,Aswani Padmasari,Pontianak,COD,616968,Delivered,Received,13,2026-07-04
ORD-22409,Dr. Vanya Sihombing,"Dr. Kasim Mandala, S.H.",Kota Administrasi Jakarta Utara,COD,818803,Delivered,Received,47,2026-07-22
ORD-53803,Gading Astuti,Arsipatra Waskita,Parepare,COD,335873,Delivered,Received,28,2026-07-07
ORD-83001,"Dt. Kenes Simanjuntak, M.Pd","Vinsen Pratama, M.Farm",Mojokerto,COD,1450073,Failed,Rejected/Unreachable,38,2026-07-25
ORD-94056,Farhunnisa Suwarno,Latika Habibi,Cilegon,COD,1005075,Delivered,Received,33,2026-07-23
ORD-36425,Drs. Taufan Hakim,Rahayu Widodo,Pontianak,COD,981717,Failed,Rejected/Unreachable,33,2026-07-21
ORD-38898,"Farah Hidayat, S.Psi","Hj. Maimunah Susanti, S.E.",Malang,COD,275993,Delivered,Received,13,2026-07-27
ORD-99678,Dariati Suwarno,Umaya Mangunsong,Palu,COD,459855,Delivered,Received,17,2026-07-27
ORD-56275,Mulyono Purwanti,Jabal Narpati,Probolinggo,COD,1302171,Delivered,Not Received,4894,2026-07-08
ORD-49036,Rina Uyainah,Ira Jailani,Denpasar,COD,185053,Delivered,Received,21,2026-07-06
ORD-59940,Kasiyah Saefullah,Prayogo Fujiati,Balikpapan,COD,1084817,Failed,Rejected/Unreachable,45,2026-07-25
ORD-27964,Soleh Wijayanti,Fathonah Napitupulu,Cilegon,COD,976636,Delivered,Received,26,2026-07-16
ORD-99463,Zulfa Nurdiyanti,Nadine Mayasari,Magelang,COD,318630,Delivered,Not Received,3718,2026-07-15
ORD-58386,Gilda Tamba,Amalia Widodo,Banjarmasin,COD,855131,Delivered,Received,16,2026-07-21
ORD-21846,Abyasa Damanik,Oliva Permata,Palangkaraya,COD,1086739,Delivered,Received,29,2026-07-20
ORD-70687,Safina Anggraini,drg. Waluyo Mardhiyah,Lhokseumawe,COD,292111,Delivered,Received,39,2026-07-13
ORD-53869,Harto Farida,"Cut Hesti Sihombing, S.E.",Binjai,COD,358327,Failed,Rejected/Unreachable,25,2026-07-04
ORD-48733,Arta Laksita,Zamira Tamba,Batam,COD,219017,Delivered,Received,31,2026-07-22
ORD-13628,"Endah Kuswoyo, M.Ak",Siti Purnawati,Sukabumi,COD,1352726,Delivered,Received,41,2026-07-16
ORD-37973,Laswi Dabukke,"Ella Tarihoran, S.Kom",Makassar,COD,909136,Failed,Rejected/Unreachable,38,2026-07-04
ORD-43492,Lala Pranowo,"Suci Winarsih, S.E.I",Sorong,COD,231161,Delivered,Received,32,2026-07-26
ORD-83316,Aslijan Hastuti,"Drs. Kasiyah Prasasta, M.Kom.",Medan,COD,1499106,Delivered,Received,17,2026-07-15
ORD-36967,"Ir. Raina Sudiati, S.I.Kom","drg. Iriana Hutasoit, S.Sos",Pekanbaru,COD,1094045,Delivered,Received,14,2026-07-08
ORD-67370,"Tgk. Lanang Wasita, S.Pd","Endra Kusmawati, S.IP",Pematangsiantar,COD,117342,Delivered,Received,28,2026-06-30
ORD-66225,"R.A. Ulya Utama, S.Ked",Danuja Hutapea,Depok,COD,1066387,Delivered,Received,5,2026-07-04
ORD-64388,"Heru Haryanto, S.Pt",Nilam Januar,Subulussalam,COD,468257,Failed,Rejected/Unreachable,36,2026-07-20
ORD-26089,Cut Zamira Puspasari,Clara Pranowo,Tidore Kepulauan,COD,463728,Delivered,Received,20,2026-07-01
ORD-47401,Irnanto Agustina,T. Damu Hardiansyah,Kota Administrasi Jakarta Pusat,COD,302345,Delivered,Received,31,2026-07-26
ORD-22905,"Upik Marpaung, M.M.","Kasiyah Dabukke, S.Ked",Cimahi,COD,1456616,Delivered,Received,42,2026-07-14
ORD-18835,Shakila Permadi,"Ir. Ira Rahimah, M.Kom.",Banjar,COD,581586,Failed,Rejected/Unreachable,83,2026-07-20
ORD-93672,Bakianto Tarihoran,Drs. Zahra Saptono,Bitung,COD,841778,Delivered,Received,22,2026-07-07
ORD-52615,Tgk. Jail Usamah,Ika Fujiati,Banda Aceh,COD,1082356,Delivered,Received,5,2026-07-17
ORD-72844,Jasmin Laksita,Faizah Suartini,Depok,COD,502644,Delivered,Received,8,2026-07-08
ORD-90120,R.A. Tiara Samosir,"Dr. Padma Nurdiyanti, M.Pd",Magelang,COD,955468,Delivered,Received,49,2026-07-14
ORD-91023,"Wirda Sitompul, S.E.","dr. Unjani Budiyanto, M.TI.",Bekasi,COD,297595,Delivered,Received,19,2026-06-30
ORD-90791,Martani Melani,"Darsirah Yulianti, S.Pd",Pagaralam,COD,1279576,Delivered,Received,33,2026-07-07
ORD-12008,Juli Namaga,Cahyono Yuliarti,Tidore Kepulauan,COD,1436943,Delivered,Received,50,2026-07-17
ORD-58147,dr. Kania Santoso,"Opan Hariyah, S.H.",Semarang,COD,555467,Delivered,Received,36,2026-07-05
ORD-83772,"R. Ade Firgantoro, S.Farm",Dt. Kasim Susanti,Padang,COD,472910,Delivered,Received,32,2026-07-17
ORD-80265,Joko Siregar,Olivia Najmudin,Jayapura,COD,153605,Delivered,Received,12,2026-07-13
ORD-24081,Dasa Nababan,"Tgk. Enteng Widiastuti, S.Kom",Bontang,COD,736227,Delivered,Received,18,2026-07-17
ORD-42909,Farhunnisa Uyainah,Aisyah Situmorang,Malang,COD,1155713,Delivered,Received,9,2026-07-21
ORD-87819,Dr. Marwata Anggraini,Shania Nasyiah,Palopo,COD,1000139,Delivered,Received,10,2026-07-03
ORD-16411,"Dt. Limar Suryatmi, M.TI.",Lukman Firmansyah,Purwokerto,COD,709971,Delivered,Received,14,2026-07-09
ORD-21427,drg. Karya Irawan,Gamblang Napitupulu,Sawahlunto,COD,250021,Delivered,Not Received,3266,2026-07-20
ORD-20994,drg. Salsabila Anggriawan,Hj. Genta Sihotang,Pematangsiantar,COD,924272,Failed,Rejected/Unreachable,57,2026-07-17
ORD-33565,Kajen Tampubolon,Nabila Natsir,Magelang,COD,1249460,Failed,Rejected/Unreachable,8,2026-07-16
ORD-20855,Kamidin Pradipta,"Dr. Puput Mardhiyah, S.IP",Tebingtinggi,COD,137157,Delivered,Received,33,2026-07-01
ORD-27099,Ajiman Wibisono,Cakrabirawa Wulandari,Samarinda,COD,472794,Delivered,Received,16,2026-07-19
ORD-27444,"Bahuwirya Salahudin, S.H.",Shania Padmasari,Tangerang,COD,1144691,Delivered,Received,24,2026-07-06
ORD-48003,"drg. Drajat Siregar, M.TI.",Rini Namaga,Palu,COD,823485,Failed,Rejected/Unreachable,67,2026-07-08
ORD-58157,Oni Aryani,Nadia Megantara,Ternate,COD,457411,Delivered,Received,15,2026-06-29
ORD-64473,R.A. Gina Wasita,Cager Tamba,Madiun,COD,1479856,Delivered,Received,24,2026-07-11
ORD-93115,Ayu Mandala,Kunthara Narpati,Cirebon,COD,297645,Delivered,Received,43,2026-06-30
ORD-15887,Zamira Halimah,"Dr. Jatmiko Namaga, S.Pt",Probolinggo,COD,673750,Delivered,Received,5,2026-07-13
ORD-38894,Danu Hakim,Maya Pertiwi,Samarinda,COD,50084,Delivered,Received,34,2026-07-13
ORD-99602,Irma Zulaika,"Utama Damanik, S.Psi",Batu,COD,521740,Delivered,Received,15,2026-07-24
ORD-97183,"Jamalia Thamrin, S.T.",Nardi Permata,Pematangsiantar,COD,188315,Delivered,Received,23,2026-07-15
ORD-19329,Bagya Laksmiwati,Fitria Haryanto,Madiun,COD,396710,Delivered,Received,38,2026-07-06
ORD-85559,Tirtayasa Aryani,"Cut Ulya Adriansyah, S.H.",Dumai,COD,1449453,Delivered,Received,25,2026-07-14
ORD-38914,Zahra Prabowo,"Eva Aryani, S.E.I",Yogyakarta,COD,925373,Delivered,Received,6,2026-07-24
ORD-44023,"Dr. Rahmi Saputra, M.Kom.","Paris Pratiwi, S.IP",Kota Administrasi Jakarta Utara,COD,1097418,Delivered,Received,40,2026-07-19
ORD-28134,Nadine Salahudin,Talia Pudjiastuti,Bitung,COD,698238,Delivered,Received,13,2026-07-11
ORD-48240,"Kasim Winarsih, S.I.Kom","Samiah Pratiwi, S.H.",Padang Sidempuan,COD,493449,Delivered,Received,39,2026-07-04
ORD-42450,Jefri Safitri,Prayogo Aryani,Meulaboh,COD,806187,Delivered,Received,8,2026-07-12
ORD-39603,Heru Nashiruddin,Narji Firgantoro,Bekasi,COD,1494887,Delivered,Received,19,2026-07-21
ORD-71564,"Ibrani Winarsih, M.M.",Aswani Santoso,Bontang,COD,1416861,Failed,Rejected/Unreachable,60,2026-07-21
ORD-21533,Purwadi Zulaika,Emin Maryadi,Langsa,COD,294422,Delivered,Received,18,2026-07-03
ORD-84032,Gilda Waluyo,"Drs. Dalima Pratama, M.Ak",Manado,COD,1342788,Delivered,Received,36,2026-07-22
ORD-64672,"Natalia Mardhiyah, S.Psi",Oman Melani,Salatiga,COD,1281068,Delivered,Received,7,2026-07-16
ORD-71685,Radika Anggriawan,Jaya Yuniar,Pematangsiantar,COD,246258,Delivered,Received,42,2026-07-15
ORD-27168,Dt. Kunthara Prastuti,"Hj. Tania Nasyidah, S.I.Kom",Subulussalam,COD,587432,Failed,Rejected/Unreachable,21,2026-07-12
ORD-73500,Elma Suwarno,Dr. Kasiyah Maryati,Pekalongan,COD,850735,Delivered,Received,37,2026-07-18
ORD-61399,"Harto Prabowo, S.Gz",Yulia Pudjiastuti,Palangkaraya,COD,1387961,Delivered,Received,31,2026-07-23
ORD-48439,Siti Marpaung,Eluh Prayoga,Mataram,COD,425964,Delivered,Received,50,2026-07-27
ORD-52918,Silvia Pradipta,Ika Zulkarnain,Denpasar,COD,1375118,Delivered,Received,50,2026-07-16
ORD-99910,Atma Hutapea,Calista Kuswandari,Sawahlunto,COD,399228,Delivered,Received,15,2026-07-06
ORD-21206,Hj. Rika Purwanti,"T. Empluk Tampubolon, S.H.",Purwokerto,COD,911720,Delivered,Received,31,2026-07-16
ORD-88663,Bella Nasyiah,"Maida Mahendra, S.T.",Medan,COD,1314205,Delivered,Received,9,2026-07-23
ORD-95927,Latika Zulkarnain,"Dr. Opung Rahimah, M.Ak",Blitar,COD,1126715,Delivered,Received,14,2026-07-07
ORD-12572,Yono Maulana,"Dr. Maryadi Wahyuni, S.Gz",Makassar,COD,841342,Delivered,Received,28,2026-07-02
ORD-73839,"KH. Adika Budiyanto, S.T.",Mujur Ramadan,Salatiga,COD,1291022,Delivered,Received,18,2026-07-25
ORD-54803,Agnes Damanik,H. Unggul Simbolon,Cilegon,COD,1234738,Delivered,Received,17,2026-07-05
ORD-22681,Iriana Hartati,Tri Prasetyo,Parepare,COD,655456,Delivered,Received,12,2026-07-10
ORD-67705,Dr. Anita Mangunsong,Jaga Rahmawati,Bima,COD,852134,Failed,Rejected/Unreachable,60,2026-07-08
ORD-26218,R.A. Ulva Ramadan,Ian Maheswara,Medan,COD,468039,Delivered,Received,8,2026-07-22
ORD-12689,Warsa Simbolon,dr. Jagapati Pertiwi,Ternate,COD,299618,Failed,Rejected/Unreachable,36,2026-07-04
ORD-92366,Adhiarja Padmasari,"Dt. Omar Permata, M.TI.",Serang,COD,599688,Delivered,Received,7,2026-07-18
ORD-21511,H. Marsito Salahudin,Dt. Dimas Sihombing,Banjarbaru,COD,583187,Delivered,Received,20,2026-07-16
ORD-64307,Niyaga Tampubolon,dr. Nadia Winarsih,Kota Administrasi Jakarta Timur,COD,130001,Delivered,Received,50,2026-07-11
ORD-81697,Ganep Pranowo,"Tira Hutasoit, S.Psi",Bitung,COD,546063,Delivered,Received,11,2026-07-05
ORD-59538,"Ophelia Siregar, M.Ak",Sidiq Winarsih,Banjarmasin,COD,531094,Delivered,Received,8,2026-07-27
ORD-60829,Drs. Unjani Tampubolon,Sabrina Mayasari,Salatiga,COD,865806,Delivered,Received,34,2026-07-14
ORD-17027,Nurul Sihombing,Dr. Almira Mardhiyah,Malang,COD,184450,Delivered,Received,44,2026-07-20
ORD-30445,Nasrullah Kusumo,Ira Oktaviani,Binjai,COD,1032359,Delivered,Received,31,2026-07-19
ORD-52653,Kamaria Simbolon,dr. Puput Situmorang,Kota Administrasi Jakarta Barat,COD,349480,Failed,Rejected/Unreachable,31,2026-07-27
ORD-60638,"Makara Hasanah, M.Kom.",Gaduh Zulkarnain,Solok,COD,298350,Delivered,Received,37,2026-07-03
ORD-30588,"Irsad Ramadan, S.Pt","Jaiman Hidayanto, M.Farm",Pasuruan,COD,1417688,Delivered,Received,12,2026-07-15
ORD-79714,Kunthara Widodo,Uchita Maryati,Cilegon,COD,1258753,Failed,Rejected/Unreachable,87,2026-07-11
ORD-18458,Putri Wahyuni,Nadine Hassanah,Sibolga,COD,280585,Delivered,Received,24,2026-07-19
ORD-21993,"Bakianto Wahyudin, S.H.",Karna Astuti,Binjai,COD,521424,Delivered,Received,12,2026-07-18
ORD-87966,"Tgk. Febi Safitri, M.Pd",Gasti Wibowo,Magelang,COD,1370690,Delivered,Received,12,2026-06-29
ORD-70433,Genta Januar,Prakosa Nurdiyanti,Salatiga,COD,424786,Delivered,Received,19,2026-06-28
ORD-66439,"Diana Wijaya, S.Sos",Harsaya Mangunsong,Padangpanjang,COD,245764,Delivered,Received,7,2026-06-28
ORD-22756,Ir. Artanto Sudiati,R.M. Gilang Dongoran,Pariaman,COD,592538,Delivered,Received,47,2026-07-24
ORD-49034,Cemani Megantara,Drs. Cinthia Laksmiwati,Pangkalpinang,COD,1291449,Failed,Rejected/Unreachable,7,2026-06-29
ORD-65931,Diana Kuswandari,Uchita Santoso,Kota Administrasi Jakarta Pusat,COD,99739,Failed,Rejected/Unreachable,15,2026-07-02
ORD-85798,drg. Maida Nababan,Kamal Nasyidah,Batu,COD,341540,Delivered,Received,49,2026-06-30
ORD-66172,Zulaikha Wahyudin,Irsad Saputra,Samarinda,COD,948426,Delivered,Received,12,2026-07-05
ORD-60473,Tgk. Dirja Budiman,"Ir. Amelia Suryatmi, S.Farm",Batam,COD,1100491,Delivered,Not Received,3808,2026-07-17
